script,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15
Yezidi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0
Adlam,0.0,0.0,0.0,87.0,0.0,0.0,1.0,0.0,0.0,0.0
Modi,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Old_North_Arabian,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kawi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
Cypro_Minoan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0
Bamum,657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multani,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuneiform,0.0,55.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greek,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Old_Persian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hiragana,2.0,0.0,0.0,0.0,285.0,0.0,3.0,0.0,1.0,1.0
Tifinagh,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Medefaidrin,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0
Lao,0.0,2.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0
Oriya,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Marchen,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
Old_Italic,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Cherokee,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khitan_Small_Script,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.0,0.0,0.0
Tangut,0.0,0.0,0.0,6881.0,0.0,5.0,6.0,22.0,0.0,0.0
Bhaiksuki,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
Tai_Tham,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inscriptional_Pahlavi,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phoenician,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tibetan,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latin,197.0,71.0,11.0,1.0,0.0,3.0,13.0,8.0,101.0,6.0
Kannada,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
Chakma,0.0,67.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
Old_Sogdian,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
Inherited,62.0,40.0,0.0,1.0,4.0,1.0,2.0,2.0,84.0,0.0
Gunjala_Gondi,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0
Bengali,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
Telugu,13.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
Old_Turkic,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meroitic_Hieroglyphs,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pahawh_Hmong,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coptic,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Takri,0.0,66.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Avestan,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duployan,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Osmanya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0
Chorasmian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0
Runic,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buginese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newa,0.0,0.0,0.0,92.0,0.0,1.0,1.0,3.0,0.0,0.0
Gothic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Syloti_Nagri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Glagolitic,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,2.0,0.0
Khojki,0.0,61.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Ugaritic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vai,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arabic,85.0,193.0,13.0,22.0,1.0,1.0,0.0,10.0,74.0,3.0
Sharada,0.0,85.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Bassa_Vah,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javanese,91.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Psalter_Pahlavi,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Han,4390.0,3.0,5771.0,0.0,7494.0,5.0,0.0,4971.0,11.0,4193.0
Elbasan,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nushu,0.0,0.0,0.0,0.0,397.0,0.0,0.0,0.0,0.0,0.0
Deseret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thaana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anatolian_Hieroglyphs,0.0,0.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hangul,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Osage,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
Syriac,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
Inscriptional_Parthian,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenian,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Khudawadi,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saurashtra,81.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lisu,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Siddham,0.0,72.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brahmi,108.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Hatran,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dogra,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0
Cyrillic,131.0,23.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,63.0
Mende_Kikakui,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wancho,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0
Makasar,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
Myanmar,110.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tangsa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0
Tamil,1.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0
Old_Uyghur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
Miao,0.0,133.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
Ogham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tai_Viet,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nag_Mundari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
Elymaic,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0
Batak,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mahajani,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caucasian_Albanian,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nko,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Rejang,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mongolian,1.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0
Meetei_Mayek,56.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Limbu,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malayalam,20.0,1.0,1.0,14.0,3.0,0.0,0.0,1.0,0.0,0.0
Common,1359.0,750.0,50.0,100.0,84.0,228.0,213.0,283.0,165.0,49.0
Sinhala,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Mandaic,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kayah_Li,48.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carian,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soyombo,0.0,0.0,0.0,0.0,80.0,1.0,2.0,0.0,0.0,0.0
Shavian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samaritan,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hanunoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kharoshthi,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Palmyrene,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Katakana,136.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,1.0
Phags_Pa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Masaram_Gondi,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
Meroitic_Cursive,0.0,26.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nandinagari,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0
Lycian,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nabataean,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egyptian_Hieroglyphs,1071.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,30.0
Gujarati,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
Hanifi_Rohingya,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
Tai_Le,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balinese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Ethiopic,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
Hebrew,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
New_Tai_Lue,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manichaean,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgian,0.0,7.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0
Zanabazar_Square,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0
Dives_Akuru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0
Mro,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sundanese,55.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imperial_Aramaic,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Old_Hungarian,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devanagari,43.0,2.0,2.0,0.0,0.0,2.0,-2.0,0.0,0.0,10.0
Sogdian,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0
Warang_Citi,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Old_South_Arabian,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lepcha,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gurmukhi,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Sora_Sompeng,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bopomofo,6.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0
Cham,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nyiakeng_Puachue_Hmong,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0
Tagalog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Old_Permic,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tagbanwa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pau_Cin_Hau,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braille,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grantha,0.0,83.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linear_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cypriot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linear_A,0.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahom,0.0,0.0,57.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0
Kaithi,66.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
SignWriting,0.0,0.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vithkuqi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0
Ol_Chiki,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buhid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lydian,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tirhuta,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canadian_Aboriginal,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
Khmer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
